n00004475	有机体，生物
n10023656	dogmatist, doctrinaire
n10024025	dolichocephalic
n10024362	domestic partner, significant other, spousal equivalent, spouse equivalent
n10024937	Dominican
n10025060	dominus, dominie, domine, dominee
n10025295	don, father
n10025391	Donatist
n10025635	donna
n10026976	dosser, street person
n10027246	相似者，翻版，面貌酷似的人
n10027590	double-crosser, double-dealer, two-timer, betrayer, traitor
n10028402	down-and-out
n10028541	doyenne
n10029068	draftsman, drawer
n10030277	dramatist, playwright
n10032987	dreamer
n10033412	dressmaker, modiste, needlewoman, seamstress, sempstress
n10033572	dressmaker's model
n10033663	dribbler, driveller, slobberer, drooler
n10033888	dribbler
n10034201	drinker, imbiber, toper, juicer
n10034614	drinker
n10035952	drug addict, junkie, junky
n10036266	吸毒者
n10036444	Druid
n10036692	drum majorette, majorette
n10036929	drummer
n10037080	drunk
n10037385	drunkard, drunk, rummy, sot, inebriate, wino
n10037588	Druze, Druse
n10037922	dry, prohibitionist
n10038119	dry nurse
n10038409	duchess
n10038620	duke
n10039271	duffer
n10039946	dunker
n10040240	Dutch uncle
n10040698	dyspeptic
n10040945	eager beaver, busy bee, live wire, sharpie, sharpy
n10041373	earl
n10041887	earner, wage earner
n10042690	eavesdropper
n10042845	eccentric, eccentric person, flake, oddball, geek
n10043024	eclectic, eclecticist
n10043491	econometrician, econometrist
n10043643	经济学家
n10044682	ectomorph
n10044879	editor, editor in chief
n10047199	egocentric, egoist
n10047459	egotist, egoist, swellhead
n10048117	ejaculator
n10048367	elder
n10048612	elder statesman
n10048836	elected official
n10049363	electrician, lineman, linesman
n10050043	elegist
n10050880	elocutionist
n10051026	emancipator, manumitter
n10051761	embryologist
n10051861	emeritus
n10051975	emigrant, emigre, emigree, outgoer
n10052694	emissary, envoy
n10053439	empress
n10053808	职员，雇员
n10054657	雇主，雇佣者
n10055297	女巫，巫婆
n10055410	enchantress, temptress, siren, Delilah, femme fatale
n10055566	encyclopedist, encyclopaedist
n10055730	endomorph
n10055847	仇敌，反对者，对抗者，敌人，敌军
n10056103	energizer, energiser, vitalizer, vitaliser, animator
n10056611	end man
n10056719	end man, corner man
n10057271	endorser, indorser
n10058411	enjoyer
n10058962	enlisted woman
n10059067	enophile, oenophile
n10060075	entrant
n10060175	entrant
n10060352	entrepreneur, enterpriser
n10061043	envoy, envoy extraordinary, minister plenipotentiary
n10061195	enzymologist
n10061431	eparch
n10061882	epidemiologist
n10062042	epigone, epigon
n10062176	epileptic
n10062275	Episcopalian
n10062492	equerry
n10062594	equerry
n10062716	erotic
n10062905	escapee
n10062996	escapist, dreamer, wishful thinker
n10063635	Eskimo, Esquimau, Inuit
n10063919	espionage agent
n10064831	esthetician, aesthetician
n10064977	etcher
n10065758	ethnologist
n10066206	Etonian
n10066314	etymologist
n10067011	evangelist, revivalist, gospeler, gospeller
n10067305	Evangelist
n10067600	event planner
n10067968	检查员，稽查员
n10068234	examiner, tester, quizzer
n10068425	exarch
n10069296	executant
n10069981	executive secretary
n10070108	executive vice president
n10070377	executrix
n10070449	exegete
n10070563	exhibitor, exhibitioner, shower
n10070711	exhibitionist, show-off
n10071332	exile, expatriate, expat
n10071557	existentialist, existentialist philosopher, existential philosopher
n10072054	exorcist, exorciser
n10074249	ex-spouse
n10074578	extern, medical extern
n10074735	extremist
n10074841	extrovert, extravert
n10075299	eyewitness
n10075693	facilitator
n10076224	fairy godmother
n10076483	falangist, phalangist
n10076604	falconer, hawker
n10076957	falsifier
n10077106	familiar
n10077593	爱好者，狂热者
n10077879	fanatic, fiend
n10078131	fancier, enthusiast
n10078719	farm boy
n10078806	农场主，农夫，农民
n10079399	farmhand, fieldhand, field hand, farm worker
n10079893	fascist
n10080117	fascista
n10080508	fatalist, determinist, predestinarian, predestinationist
n10080869	父，父亲，爸爸，爹
n10081204	Father, Padre
n10081842	father-figure
n10082043	father-in-law
n10082299	Fauntleroy, Little Lord Fauntleroy
n10082423	Fauve, fauvist
n10082562	favorite son
n10082687	featherweight
n10082997	federalist
n10083677	fellow traveler, fellow traveller
n10083823	female aristocrat
n10084043	female offspring
n10084295	女儿，女孩儿，女孩子，姑娘，小女孩
n10085101	fence
n10085869	fiance, groom-to-be
n10086383	fielder, fieldsman
n10086744	field judge
n10087434	fighter pilot
n10087736	filer
n10088200	film director, director
n10090745	finder
n10091349	fire chief, fire marshal
n10091450	fire-eater, fire-swallower
n10091564	fire-eater, hothead
n10091651	消防人员，消防员，消防队员
n10091861	fire marshall
n10091997	fire walker
n10092488	first baseman, first sacker
n10092643	firstborn, eldest
n10092794	first lady
n10092978	first lieutenant, 1st lieutenant
n10093167	first offender
n10093475	first sergeant, sergeant first class
n10093818	fishmonger, fishwife
n10094320	flagellant
n10094584	flag officer
n10094782	flak catcher, flak, flack catcher, flack
n10095265	flanker back, flanker
n10095420	flapper
n10095769	flatmate
n10095869	flatterer, adulator
n10096126	flibbertigibbet, foolish woman
n10096508	flight surgeon
n10097262	floorwalker, shopwalker
n10097477	flop, dud, washout
n10097590	Florentine
n10097842	flower girl
n10097995	flower girl
n10098245	flutist, flautist, flute player
n10098388	fly-by-night
n10098517	flyweight
n10098624	flyweight
n10098710	foe, enemy
n10098862	folk dancer
n10099002	folk poet
n10099375	follower
n10101308	football hero
n10101634	football player, footballer
n10101981	footman
n10102800	forefather, father, sire
n10103155	foremother
n10103228	foreign agent
n10103921	foreigner, outsider
n10104064	boss
n10104487	foreman
n10104756	forester, tree farmer, arboriculturist
n10104888	forewoman
n10105085	forger, counterfeiter
n10105733	forward
n10105906	foster-brother, foster brother
n10106387	foster-father, foster father
n10106509	foster-mother, foster mother
n10106995	foster-sister, foster sister
n10107173	foster-son, foster son
n10107303	founder, beginner, founding father, father
n10108018	foundress
n10108089	four-minute man
n10108464	framer
n10108832	Francophobe
n10109443	怪物，畸形人，畸形物
n10109662	free agent, free spirit, freewheeler
n10109826	free agent
n10110093	freedom rider
n10110731	free-liver
n10110893	freeloader
n10111358	free trader
n10111779	Freudian
n10111903	friar, mendicant
n10112129	修士，修道士，僧，僧侣，和尚
n10113249	frontierswoman
n10113583	front man, front, figurehead, nominal head, straw man, strawman
n10113869	frotteur
n10114476	fucker
n10114550	fucker
n10114662	fuddy-duddy
n10115430	fullback
n10115946	funambulist, tightrope walker
n10116370	fundamentalist
n10116478	fundraiser
n10116702	futurist
n10117017	gadgeteer
n10117267	gagman, gagster, gagwriter
n10117415	gagman, standup comedian
n10117739	gainer, weight gainer
n10117851	gal
n10118301	galoot
n10118743	gambist
n10118844	gambler
n10119609	gamine
n10120330	garbage man, garbageman, garbage collector, garbage carter, garbage hauler, refuse collector, dustman
n10120671	gardener
n10121026	garment cutter
n10121246	garroter, garrotter, strangler, throttler, choker
n10121714	gasman
n10121800	gastroenterologist
n10122300	gatherer
n10122531	gawker
n10123122	gendarme
n10123844	将军
n10126177	generator, source, author
n10126424	geneticist
n10126708	genitor
n10127186	gent
n10127689	geologist
n10128519	geophysicist
n10128748	代笔人
n10129338	Gibson girl
n10129825	girl, miss, missy, young lady, young woman, fille
n10130686	女朋友，对象
n10130877	girlfriend
n10131151	girl wonder
n10131268	Girondist, Girondin
n10131590	gitano
n10131815	gladiator
n10132035	glassblower
n10132502	gleaner
n10134178	goat herder, goatherd
n10134396	godchild
n10134760	godfather
n10134982	godparent
n10135129	godson
n10135197	gofer
n10135297	goffer, gopher
n10136615	goldsmith, goldworker, gold-worker
n10136959	golfer, golf player, linksman
n10137825	gondolier, gondoliere
n10138369	good guy
n10138472	good old boy, good ole boy, good ol' boy
n10139077	good Samaritan
n10139651	gossip columnist
n10140051	gouger
n10140597	governor general
n10140683	grabber
n10140783	grader
n10140929	graduate nurse, trained nurse
n10141364	grammarian, syntactician
n10141732	granddaughter
n10142166	grande dame
n10142391	外公，外祖父，爷爷，祖父
n10142537	Grand Inquisitor
n10142747	外婆，外祖母，奶奶，祖母
n10142946	grandmaster
n10143172	grandparent
n10143595	grantee
n10143725	granter
n10144338	grass widower, divorced man
n10145239	great-aunt, grandaunt
n10145340	great grandchild
n10145480	great granddaughter
n10145590	great grandmother
n10145774	great grandparent
n10145902	great grandson
n10146002	great-nephew, grandnephew
n10146104	great-niece, grandniece
n10146416	Green Beret
n10146816	grenadier, grenade thrower
n10146927	greeter, saluter, welcomer
n10147121	gringo
n10147262	grinner
n10147710	grocer
n10147935	groom, bridegroom
n10148035	groom, bridegroom
n10148305	grouch, grump, crank, churl, crosspatch
n10148825	group captain
n10149436	grunter
n10149867	prison guard, jailer, jailor, gaoler, screw, turnkey
n10150071	卫兵，看守
n10150794	guesser
n10150940	客人，被邀请者
n10151133	guest
n10151261	guest of honor
n10151367	guest worker, guestworker
n10151570	带领者，引导者
n10151760	guitarist, guitar player
n10152306	gunnery sergeant
n10152616	guru
n10152763	guru
n10153155	guvnor
n10153414	guy, cat, hombre, bozo
n10153594	gymnast
n10153865	gym rat
n10154013	gynecologist, gynaecologist, woman's doctor
n10154186	Gypsy, Gipsy, Romany, Rommany, Romani, Roma, Bohemian
n10154601	hack, drudge, hacker
n10155222	hacker, cyber-terrorist, cyberpunk
n10155600	haggler
n10155849	hairdresser, hairstylist, stylist, styler
n10156629	hakim, hakeem
n10156831	Hakka
n10157016	halberdier
n10157128	halfback
n10157271	half blood
n10158506	hand
n10159045	animal trainer, handler
n10159289	handyman, jack of all trades, odd-job man
n10159533	hang glider
n10160188	hardliner
n10160280	harlequin
n10160412	harmonizer, harmoniser
n10161622	hash head
n10162016	hatchet man, iceman
n10162194	hater
n10162354	hatmaker, hatter, milliner, modiste
n10164025	headman, tribal chief, chieftain, chief
n10164233	headmaster, schoolmaster, master
n10164492	head nurse
n10165448	hearer, listener, auditor, attender
n10166189	heartbreaker
n10166394	heathen, pagan, gentile, infidel
n10167152	heavyweight
n10167361	heavy
n10167565	heckler, badgerer
n10167838	hedger
n10168012	hedger, equivocator, tergiversator
n10168183	hedonist, pagan, pleasure seeker
n10168584	嗣子，继承人
n10168837	heir apparent
n10169147	heiress, inheritress, inheritrix
n10169241	heir presumptive
n10169419	hellion, heller, devil
n10169796	helmsman, steersman, steerer
n10170060	hire
n10170681	hematologist, haematologist
n10170866	hemiplegic
n10171219	herald, trumpeter
n10171456	herbalist, herb doctor
n10171567	herder, herdsman, drover
n10172080	hermaphrodite, intersex, gynandromorph, androgyne, epicene, epicene person
n10173410	heroine
n10173579	heroin addict
n10173665	hero worshiper, hero worshipper
n10173771	Herr
n10174253	highbinder
n10174330	highbrow
n10174445	high commissioner
n10174589	highflier, highflyer
n10174695	Highlander, Scottish Highlander, Highland Scot
n10174971	high-muck-a-muck, pooh-bah
n10175248	high priest
n10175725	highjacker, hijacker
n10176913	hireling, pensionary
n10177150	历史学家，历史家，史学家
n10178077	hitchhiker
n10178216	hitter, striker
n10179069	hobbyist
n10180580	holdout
n10180791	holdover, hangover
n10180923	holdup man, stickup man
n10181445	homeboy
n10181547	homeboy
n10181799	home buyer
n10181878	homegirl
n10182190	homeless, homeless person
n10182402	homeopath, homoeopath
n10183347	honest woman
n10183931	honor guard, guard of honor
n10184505	hooker
n10185148	hoper
n10185483	hornist
n10185793	horseman, equestrian, horseback rider
n10186068	horse trader
n10186143	horsewoman
n10186216	horse wrangler, wrangler
n10186350	horticulturist, plantsman
n10186686	hospital chaplain
n10186774	host, innkeeper, boniface
n10187130	主人
n10187491	hostess
n10187990	hotelier, hotelkeeper, hotel manager, hotelman, hosteller
n10188715	housekeeper
n10188856	housemaster
n10188957	housemate
n10189278	house physician, resident, resident physician
n10189597	house sitter
n10190122	housing commissioner
n10190516	huckster, cheap-jack
n10191001	hugger
n10191388	humanist, humanitarian
n10191613	humanitarian, do-gooder, improver
n10192839	hunk
n10193650	huntress
n10194231	ex-husband, ex
n10194775	hydrologist
n10195056	hyperope
n10195155	hypertensive
n10195261	hypnotist, hypnotizer, hypnotiser, mesmerist, mesmerizer
n10195593	hypocrite, dissembler, dissimulator, phony, phoney, pretender
n10196404	iceman
n10196725	iconoclast
n10197392	ideologist, ideologue
n10198437	idol, matinee idol
n10198832	idolizer, idoliser
n10199251	imam, imaum
n10200246	imperialist
n10200781	important person, influential person, personage
n10202225	inamorato
n10202624	incumbent, officeholder
n10202763	incurable
n10203949	inductee
n10204177	industrialist
n10204833	infanticide
n10205231	inferior
n10205344	infernal
n10205457	infielder
n10205714	infiltrator
n10206173	informer, betrayer, rat, squealer, blabber
n10206506	ingenue
n10206629	ingenue
n10207077	polymath
n10207169	in-law, relative-in-law
n10208189	inquiry agent
n10208847	inspector
n10208950	inspector general
n10209082	instigator, initiator
n10209731	insurance broker, insurance agent, general agent, underwriter
n10210137	争取自由的战士，反叛分子，反叛者，叛徒，暴徒，起义者
n10210512	intelligence analyst
n10210648	装潢者，装饰家
n10210911	interlocutor, conversational partner
n10211036	interlocutor, middleman
n10211666	International Grandmaster
n10211830	internationalist
n10212231	internist
n10212501	interpreter, translator
n10212780	interpreter
n10213034	intervenor
n10213429	introvert
n10214062	invader, encroacher
n10214390	invalidator, voider, nullifier
n10215623	调查员
n10216106	investor
n10216403	invigilator
n10217208	irreligionist
n10218043	Ivy Leaguer
n10218164	Jack of all trades
n10218292	Jacksonian
n10219240	Jane Doe
n10219453	janissary
n10219879	Jat
n10220080	Javanese, Javan
n10220924	Jekyll and Hyde
n10221312	小丑
n10221520	Jesuit
n10222170	jezebel
n10222259	jilt
n10222497	jobber, middleman, wholesaler
n10222716	job candidate
n10223069	Job's comforter
n10223177	赛马的骑师，赛马骑师
n10223606	John Doe
n10224578	journalist
n10225219	推事，法官，裁判官
n10225931	judge advocate
n10226413	juggler
n10227166	Jungian
n10227266	junior
n10227393	junior
n10227490	Junior, Jr, Jnr
n10227698	junior lightweight
n10227793	junior middleweight
n10227985	jurist, legal expert
n10228278	juror, juryman, jurywoman
n10228468	justice of the peace
n10228592	justiciar, justiciary
n10228712	kachina
n10229883	keyboardist
n10230216	Khedive
n10233248	kingmaker
n10235024	king, queen, world-beater
n10235269	King's Counsel
n10235385	Counsel to the Crown
n10236304	kin, kinsperson, family
n10236521	enate, matrikin, matrilineal kin, matrisib, matrilineal sib
n10236842	kink
n10237069	kinswoman
n10237196	kisser, osculator
n10237464	kitchen help
n10237556	kitchen police, KP
n10237676	Klansman, Ku Kluxer, Kluxer
n10237799	kleptomaniac
n10238272	kneeler
n10238375	knight
n10239928	knocker
n10240082	knower, apprehender
n10240235	know-it-all, know-all
n10240417	kolkhoznik
n10240821	Kshatriya
n10241024	labor coach, birthing coach, doula, monitrice
n10241300	劳动者，工人
n10242328	Labourite
n10243137	女士，贵妇
n10243273	lady-in-waiting
n10243483	lady's maid
n10243664	lama
n10243872	lamb, dear
n10244108	lame duck
n10244359	lamplighter
n10244913	land agent
n10245029	landgrave
n10245341	landlubber, lubber, landsman
n10245507	landlubber, landsman, landman
n10245639	土地所有者，地主
n10245863	landscape architect, landscape gardener, landscaper, landscapist
